bin_left,bin_right,bin_center,count
0.0,30.0,15.0,2862
30.0,60.0,45.0,791
60.0,90.0,75.0,968
90.0,120.0,105.0,864
120.0,150.0,135.0,925
150.0,180.0,165.0,521
180.0,210.0,195.0,810
210.0,240.0,225.0,355
240.0,270.0,255.0,428
270.0,300.0,285.0,184
300.0,330.0,315.0,468
330.0,360.0,345.0,22
360.0,390.0,375.0,306
390.0,420.0,405.0,27
420.0,450.0,435.0,248
450.0,480.0,465.0,84
480.0,510.0,495.0,76
510.0,540.0,525.0,15
540.0,570.0,555.0,67
570.0,600.0,585.0,1
600.0,630.0,615.0,79
630.0,660.0,645.0,66
660.0,690.0,675.0,1
690.0,720.0,705.0,13
720.0,750.0,735.0,72
750.0,780.0,765.0,7
780.0,810.0,795.0,4
810.0,840.0,825.0,1
840.0,870.0,855.0,87
870.0,900.0,885.0,2
900.0,930.0,915.0,26
930.0,960.0,945.0,1
960.0,990.0,975.0,7
990.0,1020.0,1005.0,5
1020.0,1050.0,1035.0,2
1050.0,1080.0,1065.0,5
1080.0,1110.0,1095.0,12
1110.0,1140.0,1125.0,1
1140.0,1170.0,1155.0,0
1170.0,1200.0,1185.0,0
1200.0,1230.0,1215.0,11
1230.0,1260.0,1245.0,1
1260.0,1290.0,1275.0,20
1290.0,1320.0,1305.0,0
1320.0,1350.0,1335.0,3
1350.0,1380.0,1365.0,0
1380.0,1410.0,1395.0,5
1410.0,1440.0,1425.0,0
1440.0,1470.0,1455.0,13
1470.0,1500.0,1485.0,1
1500.0,1530.0,1515.0,6
1530.0,1560.0,1545.0,0
1560.0,1590.0,1575.0,0
1590.0,1620.0,1605.0,1
1620.0,1650.0,1635.0,1
